Date,Dark_Store,Category,SKU,Units_Sold,Forecast_Units,On_Hand_Units,Promo_Flag
2025-01-01,DS-Amsterdam-01,Fresh Produce,FRE-01,49,48,337,0
2025-01-01,DS-Amsterdam-01,Fresh Produce,FRE-02,87,85,480,1
2025-01-01,DS-Amsterdam-01,Fresh Produce,FRE-03,38,50,232,0
2025-01-01,DS-Amsterdam-01,Fresh Produce,FRE-04,49,43,260,0
2025-01-01,DS-Amsterdam-01,Fresh Produce,FRE-05,45,51,271,0
2025-01-01,DS-Amsterdam-01,Fresh Produce,FRE-06,54,51,323,0
2025-01-01,DS-Amsterdam-01,Dairy,DAI-01,38,31,106,0
2025-01-01,DS-Amsterdam-01,Dairy,DAI-02,28,35,98,0
2025-01-01,DS-Amsterdam-01,Dairy,DAI-03,37,28,131,0
2025-01-01,DS-Amsterdam-01,Dairy,DAI-04,42,37,121,0
2025-01-01,DS-Amsterdam-01,Dairy,DAI-05,31,37,103,0
2025-01-01,DS-Amsterdam-01,Dairy,DAI-06,36,35,134,0
2025-01-01,DS-Amsterdam-01,Beverages,BEV-01,58,58,170,0
2025-01-01,DS-Amsterdam-01,Beverages,BEV-02,52,64,209,0
2025-01-01,DS-Amsterdam-01,Beverages,BEV-03,61,70,250,0
2025-01-01,DS-Amsterdam-01,Beverages,BEV-04,63,59,212,0
2025-01-01,DS-Amsterdam-01,Beverages,BEV-05,59,66,227,0
2025-01-01,DS-Amsterdam-01,Beverages,BEV-06,103,85,427,1
2025-01-01,DS-Amsterdam-01,Snacks,SNA-01,50,56,70,0
2025-01-01,DS-Amsterdam-01,Snacks,SNA-02,56,43,92,0
2025-01-01,DS-Amsterdam-01,Snacks,SNA-03,59,39,99,0
2025-01-01,DS-Amsterdam-01,Snacks,SNA-04,97,78,158,1
2025-01-01,DS-Amsterdam-01,Snacks,SNA-05,45,48,63,0
2025-01-01,DS-Amsterdam-01,Snacks,SNA-06,53,44,93,0
2025-01-01,DS-Amsterdam-01,Household,HOU-01,24,21,86,0
2025-01-01,DS-Amsterdam-01,Household,HOU-02,30,22,86,0
2025-01-01,DS-Amsterdam-01,Household,HOU-03,20,22,76,0
2025-01-01,DS-Amsterdam-01,Household,HOU-04,22,21,68,0
2025-01-01,DS-Amsterdam-01,Household,HOU-05,29,21,100,0
2025-01-01,DS-Amsterdam-01,Household,HOU-06,26,18,89,0
2025-01-01,DS-Amsterdam-02,Fresh Produce,FRE-01,36,47,238,0
2025-01-01,DS-Amsterdam-02,Fresh Produce,FRE-02,48,47,322,0
2025-01-01,DS-Amsterdam-02,Fresh Produce,FRE-03,44,54,214,0
2025-01-01,DS-Amsterdam-02,Fresh Produce,FRE-04,71,99,437,1
2025-01-01,DS-Amsterdam-02,Fresh Produce,FRE-05,80,102,388,1
