Order Date,Region,Category,Segment,Sales,Quantity,Discount,Profit
2024-01-01,Central,Furniture,Consumer,49.3,6,0.0,-9.65
2024-01-01,West,Office Supplies,Consumer,108.21,7,0.0,38.63
2024-01-01,East,Technology,Consumer,88.41,2,0.0,21.72
2024-01-01,West,Furniture,Consumer,134.31,2,0.2,31.39
2024-01-01,Central,Furniture,Home Office,323.36,3,0.2,52.11
2024-01-01,West,Furniture,Consumer,559.43,5,0.0,167.16
2024-01-01,East,Technology,Consumer,404.01,6,0.2,75.27
2024-01-02,West,Office Supplies,Corporate,113.39,6,0.0,38.59
2024-01-02,West,Office Supplies,Consumer,124.65,6,0.2,-28.22
2024-01-02,East,Technology,Consumer,406.23,1,0.2,94.14
2024-01-03,East,Furniture,Corporate,749.49,2,0.1,185.19
2024-01-03,West,Furniture,Consumer,353.31,7,0.1,77.35
2024-01-03,Central,Technology,Consumer,354.42,7,0.2,48.69
2024-01-03,East,Furniture,Consumer,268.6,2,0.2,76.37
2024-01-03,South,Technology,Corporate,751.52,6,0.0,184.7
2024-01-03,West,Furniture,Consumer,412.05,3,0.0,130.56
2024-01-03,West,Technology,Home Office,122.84,4,0.2,7.39
2024-01-03,East,Office Supplies,Corporate,46.46,3,0.3,8.79
2024-01-03,Central,Office Supplies,Consumer,94.64,5,0.0,13.71
2024-01-04,Central,Technology,Home Office,745.49,2,0.0,211.86
2024-01-04,Central,Technology,Corporate,676.58,2,0.2,111.76
2024-01-04,West,Office Supplies,Corporate,110.2,2,0.1,31.23
2024-01-04,West,Furniture,Consumer,459.31,2,0.0,100.71
2024-01-05,South,Office Supplies,Corporate,24.4,3,0.0,32.77
2024-01-05,East,Technology,Consumer,369.01,4,0.1,78.31
2024-01-05,East,Technology,Corporate,710.78,2,0.0,185.84
2024-01-05,East,Office Supplies,Consumer,69.15,3,0.0,-9.58
2024-01-05,Central,Office Supplies,Consumer,61.77,6,0.0,7.98
2024-01-05,West,Technology,Consumer,374.32,6,0.0,77.37
2024-01-06,Central,Office Supplies,Corporate,79.3,6,0.0,21.71
2024-01-06,West,Technology,Consumer,348.99,4,0.1,61.95
2024-01-06,West,Office Supplies,Home Office,102.33,3,0.2,28.29
2024-01-06,South,Office Supplies,Consumer,161.6,1,0.1,29.38
2024-01-06,West,Technology,Consumer,237.54,1,0.0,65.02
2024-01-07,Central,Technology,Home Office,260.7,3,0.0,82.06
2024-01-07,West,Office Supplies,Corporate,53.04,5,0.1,-5.79
2024-01-07,South,Technology,Home Office,159.08,4,0.1,39.13
2024-01-08,West,Technology,Consumer,326.64,7,0.3,13.76
2024-01-08,Central,Office Supplies,Consumer,63.85,5,0.0,19.04
2024-01-08,East,Office Supplies,Consumer,56.01,7,0.3,-18.93
2024-01-09,Central,Technology,Corporate,678.83,3,0.0,210.76
2024-01-09,Central,Office Supplies,Consumer,35.72,3,0.1,35.91
2024-01-10,South,Technology,Consumer,296.21,2,0.1,74.23
2024-01-10,West,Office Supplies,Consumer,75.2,5,0.0,33.71
2024-01-10,South,Technology,Corporate,579.93,6,0.0,151.99
2024-01-10,East,Furniture,Home Office,316.03,4,0.1,59.76
2024-01-10,South,Office Supplies,Consumer,41.48,4,0.1,17.93
2024-01-11,West,Office Supplies,Corporate,27.11,2,0.1,10.31
2024-01-11,East,Technology,Corporate,286.68,6,0.0,65.34
2024-01-11,East,Office Supplies,Home Office,198.28,7,0.2,30.27
2024-01-12,West,Office Supplies,Consumer,38.42,5,0.1,17.45
2024-01-12,West,Technology,Consumer,467.54,2,0.2,85.66
2024-01-12,South,Office Supplies,Consumer,40.93,6,0.0,20.36
2024-01-12,West,Office Supplies,Consumer,32.46,1,0.0,15.87
2024-01-12,West,Office Supplies,Home Office,110.07,6,0.3,11.94
2024-01-13,West,Office Supplies,Corporate,52.44,1,0.0,39.25
2024-01-13,South,Technology,Consumer,72.32,6,0.0,36.65
2024-01-13,East,Technology,Home Office,407.12,5,0.0,112.7
2024-01-13,South,Technology,Corporate,428.25,6,0.1,120.53
2024-01-13,South,Furniture,Consumer,661.91,3,0.1,114.63
2024-01-13,East,Technology,Consumer,782.51,5,0.0,240.14
2024-01-13,South,Office Supplies,Corporate,235.02,7,0.0,28.46
2024-01-14,Central,Technology,Home Office,590.11,1,0.0,175.86
2024-01-14,East,Office Supplies,Consumer,228.33,3,0.0,91.64
2024-01-14,South,Office Supplies,Consumer,30.56,1,0.1,3.71
2024-01-14,Central,Technology,Corporate,186.93,5,0.0,47.78
2024-01-14,East,Furniture,Consumer,390.8,5,0.0,129.29
2024-01-15,South,Technology,Corporate,118.18,5,0.2,38.05
2024-01-15,Central,Technology,Corporate,895.93,5,0.1,200.16
2024-01-15,East,Office Supplies,Consumer,23.33,2,0.1,2.22
2024-01-15,West,Furniture,Consumer,586.95,3,0.1,125.16
2024-01-16,West,Technology,Home Office,554.69,1,0.0,152.65
